Date,Open,High,Low,Close,Adj Close,Volume
2018-07-19,189.690002,192.550003,189.690002,191.880005,191.209412,20286800
2018-07-20,191.779999,192.429993,190.169998,191.440002,190.770950,20676200
2018-07-23,190.679993,191.960007,189.559998,191.610001,190.940353,15989400
2018-07-24,192.449997,193.660004,192.050003,193.000000,192.325485,18697900
2018-07-25,193.059998,194.850006,192.429993,194.820007,194.139145,16709900
2018-07-26,194.610001,195.960007,193.610001,194.210007,193.531265,19076000
2018-07-27,194.990005,195.190002,190.100006,190.979996,190.312546,24024000
2018-07-30,191.899994,192.199997,189.070007,189.910004,189.246292,21029500
2018-07-31,190.300003,192.139999,189.339996,190.289993,189.624954,39373000
2018-08-01,199.130005,201.759995,197.309998,201.500000,200.795792,67935700
2018-08-02,200.580002,208.380005,200.350006,207.389999,206.665207,62404000
2018-08-03,207.029999,208.740005,205.479996,207.990005,207.263107,33447400
2018-08-06,208.000000,209.250000,207.070007,209.070007,208.339340,25425400
2018-08-07,209.320007,209.500000,206.759995,207.110001,206.386185,25587400
2018-08-08,206.050003,207.809998,204.520004,207.250000,206.525696,22525500
2018-08-09,207.279999,209.779999,207.199997,208.880005,208.149994,23469200
2018-08-10,207.360001,209.100006,206.669998,207.529999,207.529999,24611200
2018-08-13,207.699997,210.949997,207.699997,208.869995,208.869995,25869100
2018-08-14,210.160004,210.559998,208.259995,209.750000,209.750000,20748000
2018-08-15,209.220001,210.740005,208.330002,210.240005,210.240005,28807600
2018-08-16,211.750000,213.809998,211.470001,213.320007,213.320007,28500400
2018-08-17,213.440002,217.949997,213.160004,217.580002,217.580002,35050600
